直播源,#genre#
北京卫视,http://180.141.51.66:4022/udp/239.81.0.109:4056
北京卫视,http://116.227.100.73:9200/udp/239.45.3.229:5140
北京卫视,http://36.62.125.161:4000/rtp/238.1.78.162:7168
北京卫视,http://220.174.36.41:8888/rtp/239.253.64.204:5140
重庆卫视,http://118.114.121.52:19999/udp/239.93.1.107:5140
重庆卫视,http://115.58.216.155:4000/rtp/225.1.4.157:1308
重庆卫视,http://113.9.184.165:16866/udp/229.58.190.67:5000
重庆卫视,http://171.213.130.126:6699/udp/239.93.1.107:5140
重庆卫视,http://123.144.176.135:8001/udp/225.0.4.187:7980
重庆卫视,http://211.158.177.75:8001/udp/225.0.4.187:7980
重庆卫视,http://60.220.167.11:8085/rtp/226.0.2.174:9304
重庆卫视,http://116.227.100.73:9200/udp/239.45.1.84:5140
重庆卫视,http://36.62.125.161:4000/rtp/238.1.78.31:6176
重庆卫视,http://220.174.36.41:8888/rtp/239.253.64.55:5140
东方卫视,http://118.114.121.52:19999/udp/239.93.0.123:5140
东方卫视,http://115.58.216.155:4000/rtp/225.1.4.85:1114
东方卫视,http://182.90.9.145:8888/rtp/239.81.0.111:4056
东方卫视,http://113.9.184.165:16866/udp/229.58.190.54:5000
东方卫视,http://171.213.130.126:6699/udp/239.93.0.123:5140
东方卫视,http://123.144.176.135:8001/udp/225.0.4.80:7980
东方卫视,http://211.158.177.75:8001/udp/225.0.4.80:7980
东方卫视,http://60.220.167.11:8085/rtp/226.0.2.175:9312
东方卫视,http://180.141.51.66:4022/udp/239.81.0.111:4056
东方卫视,http://116.227.100.73:9200/udp/239.45.3.146:5140
东方卫视,http://36.62.125.161:4000/rtp/238.1.78.163:7176
东方卫视,http://220.174.36.41:8888/rtp/239.253.64.201:5140
东南卫视,http://118.114.121.52:19999/udp/239.93.0.42:5140
东南卫视,http://115.58.216.155:4000/rtp/225.1.4.228:1274
东南卫视,http://182.90.9.145:8888/rtp/239.81.0.215:4056
东南卫视,http://113.9.184.165:16866/udp/229.58.190.168:5000
东南卫视,http://171.213.130.126:6699/udp/239.93.0.42:5140
东南卫视,http://60.220.167.11:8085/rtp/226.0.2.188:9416
东南卫视,http://180.141.51.66:4022/udp/239.81.0.215:4056
东南卫视,http://116.227.100.73:9200/udp/239.45.1.121:5140
东南卫视,http://36.62.125.161:4000/rtp/238.1.78.22:6104
东南卫视,http://220.174.36.41:8888/rtp/239.253.64.66:5140
甘肃卫视,http://118.114.121.52:19999/udp/239.93.0.81:5140
甘肃卫视,http://182.90.9.145:8888/rtp/239.81.0.207:4056
甘肃卫视,http://171.213.130.126:6699/udp/239.93.0.81:5140
甘肃卫视,http://180.141.51.66:4022/udp/239.81.0.207:4056
甘肃卫视,http://36.62.125.161:4000/rtp/238.1.79.36:4400
广东卫视,http://118.114.121.52:19999/udp/239.93.0.181:5140
广东卫视,http://115.58.216.155:4000/rtp/225.1.4.166:1207
广东卫视,http://182.90.9.145:8888/rtp/239.81.0.104:4056
广东卫视,http://113.9.184.165:16866/udp/229.58.190.53:5000
广东卫视,http://171.213.130.126:6699/udp/239.93.0.181:5140
广东卫视,http://123.144.176.135:8001/udp/225.0.4.84:7980
广东卫视,http://211.158.177.75:8001/udp/225.0.4.84:7980
广东卫视,http://60.220.167.11:8085/rtp/226.0.2.146:9080
广东卫视,http://180.141.51.66:4022/udp/239.81.0.104:4056
广东卫视,http://116.227.100.73:9200/udp/239.45.3.230:5140
广东卫视,http://36.62.125.161:4000/rtp/238.1.78.161:7160
广东卫视,http://220.174.36.41:8888/rtp/239.253.64.200:5140
广西卫视,http://118.114.121.52:19999/udp/239.93.42.46:5140
广西卫视,http://182.90.9.145:8888/rtp/239.81.0.107:4056
广西卫视,http://171.213.130.126:6699/udp/239.93.42.46:5140
广西卫视,http://60.220.167.11:8085/rtp/226.0.2.231:9760
广西卫视,http://180.141.51.66:4022/udp/239.81.0.107:4056
广西卫视,http://116.227.100.73:9200/udp/239.45.0.5:5140
贵州卫视,http://118.114.121.52:19999/udp/239.93.0.131:5140
贵州卫视,http://115.58.216.155:4000/rtp/225.1.4.122:1302
贵州卫视,http://182.90.9.145:8888/rtp/239.81.0.95:4056
贵州卫视,http://113.9.184.165:16866/udp/229.58.190.100:5000
贵州卫视,http://171.213.130.126:6699/udp/239.93.0.131:5140
贵州卫视,http://123.144.176.135:8001/udp/225.0.4.175:7980
贵州卫视,http://211.158.177.75:8001/udp/225.0.4.175:7980
贵州卫视,http://60.220.167.11:8085/rtp/226.0.2.180:9352
贵州卫视,http://180.141.51.66:4022/udp/239.81.0.95:4056
贵州卫视,http://116.227.100.73:9200/udp/239.45.1.80:5140
贵州卫视,http://36.62.125.161:4000/rtp/238.1.78.244:7824
贵州卫视,http://220.174.36.41:8888/rtp/239.253.64.197:5140
海南卫视,http://115.58.216.155:4000/rtp/225.1.4.195:1310
海南卫视,http://60.220.167.11:8085/rtp/226.0.2.212:9608
海南卫视,http://116.227.100.73:9200/udp/239.45.1.81:5140
海南卫视,http://36.62.125.161:4000/rtp/238.1.79.49:4504
海南卫视,http://220.174.36.41:8888/rtp/239.253.64.253:5140
河北卫视,http://118.114.121.52:19999/udp/239.93.0.132:5140
河北卫视,http://115.58.216.155:4000/rtp/225.1.4.123:1304
河北卫视,http://182.90.9.145:8888/rtp/239.81.0.94:4056
河北卫视,http://113.9.184.165:16866/udp/229.58.190.209:5000
河北卫视,http://171.213.130.126:6699/udp/239.93.0.132:5140
河北卫视,http://123.144.176.135:8001/udp/225.0.4.174:7980
河北卫视,http://211.158.177.75:8001/udp/225.0.4.174:7980
河北卫视,http://60.220.167.11:8085/rtp/226.0.2.178:9336
河北卫视,http://180.141.51.66:4022/udp/239.81.0.94:4056
河北卫视,http://116.227.100.73:9200/udp/239.45.1.44:5140
河北卫视,http://36.62.125.161:4000/rtp/238.1.78.245:7832
河北卫视,http://220.174.36.41:8888/rtp/239.253.64.210:5140
河南卫视,http://118.114.121.52:19999/udp/239.93.42.45:5140
河南卫视,http://115.58.216.155:4000/rtp/225.1.4.98:1127
河南卫视,http://113.9.184.165:16866/udp/229.58.190.103:5000
河南卫视,http://171.213.130.126:6699/udp/239.93.42.45:5140
河南卫视,http://60.220.167.11:8085/rtp/226.0.2.52:8328
河南卫视,http://116.227.100.73:9200/udp/239.45.0.3:5140
河南卫视,http://36.62.125.161:4000/rtp/238.1.79.65:4632
黑龙江卫视,http://118.114.121.52:19999/udp/239.93.0.183:5140
黑龙江卫视,http://115.58.216.155:4000/rtp/225.1.4.91:1120
黑龙江卫视,http://182.90.9.145:8888/rtp/239.81.0.105:4056
黑龙江卫视,http://113.9.184.165:16866/udp/229.58.190.150:5000
黑龙江卫视,http://171.213.130.126:6699/udp/239.93.0.183:5140
黑龙江卫视,http://123.144.176.135:8001/udp/225.0.4.201:7980
黑龙江卫视,http://211.158.177.75:8001/udp/225.0.4.201:7980
黑龙江卫视,http://60.220.167.11:8085/rtp/226.0.2.151:9120
黑龙江卫视,http://180.141.51.66:4022/udp/239.81.0.105:4056
黑龙江卫视,http://116.227.100.73:9200/udp/239.45.3.232:5140
黑龙江卫视,http://36.62.125.161:4000/rtp/238.1.78.159:7144
黑龙江卫视,http://220.174.36.41:8888/rtp/239.253.64.205:5140
湖北卫视,http://118.114.121.52:19999/udp/239.93.0.250:5140
湖北卫视,http://115.58.216.155:4000/rtp/225.1.4.89:1118
湖北卫视,http://182.90.9.145:8888/rtp/239.81.0.112:4056
湖北卫视,http://113.9.184.165:16866/udp/229.58.190.101:5000
湖北卫视,http://171.213.130.126:6699/udp/239.93.0.250:5140
湖北卫视,http://60.220.167.11:8085/rtp/226.0.2.150:9112
湖北卫视,http://180.141.51.66:4022/udp/239.81.0.112:4056
湖北卫视,http://116.227.100.73:9200/udp/239.45.3.239:5140
湖北卫视,http://36.62.125.161:4000/rtp/238.1.78.168:7216
湖北卫视,http://220.174.36.41:8888/rtp/239.253.64.207:5140
湖南卫视,http://118.114.121.52:19999/udp/239.93.0.88:5140
湖南卫视,http://115.58.216.155:4000/rtp/225.1.4.82:1111
湖南卫视,http://182.90.9.145:8888/rtp/239.81.0.110:4056
湖南卫视,http://113.9.184.165:16866/udp/229.58.190.128:5000
湖南卫视,http://171.213.130.126:6699/udp/239.93.0.88:5140
湖南卫视,http://123.144.176.135:8001/udp/225.0.4.75:7980
湖南卫视,http://211.158.177.75:8001/udp/225.0.4.75:7980
湖南卫视,http://60.220.167.11:8085/rtp/226.0.2.143:9056
湖南卫视,http://180.141.51.66:4022/udp/239.81.0.110:4056
湖南卫视,http://116.227.100.73:9200/udp/239.45.3.228:5140
湖南卫视,http://36.62.125.161:4000/rtp/238.1.78.160:7152
湖南卫视,http://220.174.36.41:8888/rtp/239.253.64.114:5140
吉林卫视,http://118.114.121.52:19999/udp/239.93.0.248:5140
吉林卫视,http://115.58.216.155:4000/rtp/225.1.4.174:1309
吉林卫视,http://113.9.184.165:16866/udp/229.58.190.214:5000
吉林卫视,http://171.213.130.126:6699/udp/239.93.0.248:5140
吉林卫视,http://60.220.167.11:8085/rtp/226.0.2.58:8376
吉林卫视,http://116.227.100.73:9200/udp/239.45.0.6:5140
吉林卫视,http://36.62.125.161:4000/rtp/238.1.79.48:4496
江苏卫视,http://118.114.121.52:19999/udp/239.93.0.89:5140
江苏卫视,http://115.58.216.155:4000/rtp/225.1.4.83:1112
江苏卫视,http://182.90.9.145:8888/rtp/239.81.0.106:4056
江苏卫视,http://113.9.184.165:16866/udp/229.58.190.37:5000
江苏卫视,http://171.213.130.126:6699/udp/239.93.0.89:5140
江苏卫视,http://123.144.176.135:8001/udp/225.0.4.79:7980
江苏卫视,http://211.158.177.75:8001/udp/225.0.4.79:7980
江苏卫视,http://60.220.167.11:8085/rtp/226.0.2.176:9320
江苏卫视,http://180.141.51.66:4022/udp/239.81.0.106:4056
江苏卫视,http://116.227.100.73:9200/udp/239.45.3.177:5140
江苏卫视,http://36.62.125.161:4000/rtp/238.1.78.165:7192
江苏卫视,http://220.174.36.41:8888/rtp/239.253.64.202:5140
江西卫视,http://118.114.121.52:19999/udp/239.93.0.134:5140
江西卫视,http://115.58.216.155:4000/rtp/225.1.4.139:1305
江西卫视,http://182.90.9.145:8888/rtp/239.81.0.204:4056
江西卫视,http://113.9.184.165:16866/udp/229.58.190.208:5000
江西卫视,http://171.213.130.126:6699/udp/239.93.0.134:5140
江西卫视,http://60.220.167.11:8085/rtp/226.0.2.54:8344
江西卫视,http://180.141.51.66:4022/udp/239.81.0.204:4056
江西卫视,http://116.227.100.73:9200/udp/239.45.1.122:5140
江西卫视,http://36.62.125.161:4000/rtp/238.1.78.26:6136
江西卫视,http://220.174.36.41:8888/rtp/239.253.64.56:5140
辽宁卫视,http://118.114.121.52:19999/udp/239.93.1.108:5140
辽宁卫视,http://115.58.216.155:4000/rtp/225.1.4.167:1208
辽宁卫视,http://182.90.9.145:8888/rtp/239.81.0.210:4056
辽宁卫视,http://171.213.130.126:6699/udp/239.93.1.108:5140
辽宁卫视,http://123.144.176.135:8001/udp/225.0.4.98:7980
辽宁卫视,http://211.158.177.75:8001/udp/225.0.4.98:7980
辽宁卫视,http://60.220.167.11:8085/rtp/226.0.2.173:9296
辽宁卫视,http://180.141.51.66:4022/udp/239.81.0.210:4056
辽宁卫视,http://116.227.100.73:9200/udp/239.45.1.123:5140
辽宁卫视,http://36.62.125.161:4000/rtp/238.1.78.21:6096
辽宁卫视,http://220.174.36.41:8888/rtp/239.253.64.150:5140
三沙卫视,http://220.174.36.41:8888/rtp/239.253.64.112:5140
山东卫视,http://118.114.121.52:19999/udp/239.93.0.168:5140
山东卫视,http://115.58.216.155:4000/rtp/225.1.4.88:1117
山东卫视,http://182.90.9.145:8888/rtp/239.81.0.114:4056
